Lote,FechaInicioPlantacion,FechaFinPlantacion,Precipitacion_mm (400-1000),Temperatura_C (18-28),Humedad_porcentaje (50-90),HorasSol_dia (12-13),Altitud_msnm (0-3200),CostoTotal_USD (3000-5000),Produccion_qt (400-500),Produccion_kg (40000-50000),Fertilizante_NPK (N-P-K),ModoRiego (Aspersion/Goteo/Gravedad),Riego_Etapa1_mm (20-50),Riego_Etapa2_mm (30-60),Riego_Etapa3_mm (40-70),DistanciaMecanizacion_m (10-50),DistanciaSiembra_m (0.5-1.0),TipoSuelo (Arenoso/Arcilloso/Franco),pH_Suelo (5.5-7.5)
1,2020-01-01,2020-04-30,713.79,19.92,56.56,12.73,1449.21,4228.97,485.46,42101.0,N-10 P-14 K-10,Gravedad,45.21,38.42,63.62,21.04,0.9,Arenoso,6.2
2,2020-04-30,2020-08-28,975.67,24.37,77.33,12.06,2730.23,4515.49,409.07,40961.0,N-12 P-13 K-20,Gravedad,35.36,51.15,42.22,30.74,0.6,Franco,5.8
3,2020-08-28,2020-12-26,807.76,26.31,76.05,12.42,2532.51,4213.91,468.2,48350.0,N-10 P-20 K-10,Aspersion,30.63,41.09,57.42,26.07,0.8,Arcilloso,5.7
4,2020-12-26,2021-04-25,477.94,25.56,89.46,12.17,1889.18,4734.53,402.03,44510.0,N-16 P-16 K-19,Aspersion,24.84,31.71,63.51,48.33,0.6,Franco,5.5
5,2021-04-25,2021-08-23,825.15,21.19,57.16,12.9,1130.8,3096.64,477.56,43582.0,N-14 P-16 K-11,Goteo,21.81,36.61,54.43,27.11,0.8,Franco,7.5
6,2021-08-23,2021-12-21,776.61,20.73,83.86,12.21,717.78,4153.01,437.32,48100.0,N-15 P-14 K-19,Aspersion,30.22,33.27,63.48,24.49,0.7,Arcilloso,6.2
7,2021-12-21,2022-04-20,800.17,27.79,65.01,12.47,3136.45,3614.05,447.99,45726.0,N-13 P-13 K-17,Gravedad,37.27,43.89,69.68,24.98,0.9,Franco,5.5
8,2022-04-20,2022-08-18,568.48,22.75,58.13,12.28,948.55,3570.73,447.68,41688.0,N-14 P-11 K-19,Goteo,48.35,33.19,63.93,30.32,1.0,Arcilloso,7.2
9,2022-08-18,2022-12-16,498.45,19.18,51.74,12.23,1485.73,4374.66,431.89,46190.0,N-20 P-11 K-12,Gravedad,44.77,48.04,55.61,20.22,0.9,Arenoso,7.0
10,2022-12-16,2023-04-15,856.32,24.17,78.15,12.59,3143.49,4831.93,415.47,41251.0,N-14 P-11 K-19,Aspersion,22.74,35.25,42.34,22.53,0.9,Arcilloso,7.5
11,2023-04-15,2023-08-13,629.98,21.41,50.74,12.46,1773.33,3898.35,411.62,43860.0,N-17 P-14 K-18,Aspersion,29.66,48.99,58.21,26.33,0.5,Arenoso,6.1
12,2023-08-13,2023-12-11,945.27,24.54,50.18,12.11,1107.19,3893.24,456.73,46249.0,N-16 P-11 K-10,Gravedad,46.42,36.73,55.76,40.66,0.5,Arcilloso,7.2
13,2023-12-11,2024-04-09,441.81,26.34,54.26,12.41,1725.18,4609.28,425.65,42027.0,N-12 P-12 K-10,Aspersion,22.97,52.41,62.97,32.47,0.5,Arcilloso,6.7
14,2024-04-09,2024-08-07,735.25,24.52,60.79,12.83,383.52,4977.14,421.98,49162.0,N-17 P-10 K-11,Aspersion,22.72,31.58,44.14,30.72,0.5,Arcilloso,6.1
15,2024-08-07,2024-12-05,527.07,19.72,66.95,12.96,2504.4,4046.79,484.41,40656.0,N-16 P-20 K-11,Goteo,32.41,30.35,59.12,23.26,0.6,Arcilloso,5.7
16,2024-12-05,2025-04-04,610.01,27.61,56.72,12.94,1165.72,3635.78,421.64,41598.0,N-20 P-16 K-20,Goteo,38.5,30.58,46.85,10.66,0.8,Arenoso,5.7
17,2025-04-04,2025-08-02,538.66,24.85,75.11,12.16,2290.92,3987.05,430.69,43980.0,N-14 P-12 K-11,Goteo,35.13,55.98,40.82,42.76,0.8,Arcilloso,7.5
18,2025-08-02,2025-11-30,700.09,24.66,58.08,12.56,1792.68,3371.63,401.44,46733.0,N-12 P-15 K-12,Aspersion,29.53,54.01,63.0,18.7,0.7,Arenoso,7.5
19,2025-11-30,2026-03-30,454.18,24.97,51.46,12.96,2791.58,3761.12,405.2,47495.0,N-10 P-19 K-19,Goteo,29.37,41.95,54.39,22.84,0.6,Arcilloso,7.0
20,2026-03-30,2026-07-28,771.87,25.52,55.82,12.06,2130.58,4190.58,426.72,47607.0,N-12 P-11 K-19,Aspersion,47.34,53.14,48.52,23.09,0.8,Franco,5.5
21,2026-07-28,2026-11-25,637.24,25.76,69.68,12.83,1719.59,4015.81,498.74,48559.0,N-17 P-17 K-16,Goteo,22.26,46.41,60.44,34.86,0.7,Arenoso,6.0
22,2026-11-25,2027-03-25,725.39,27.62,64.16,12.34,1160.0,3455.42,437.16,45803.0,N-16 P-19 K-19,Goteo,45.57,57.9,60.79,11.18,0.6,Franco,5.7
23,2027-03-25,2027-07-23,583.96,27.3,82.65,12.06,1503.67,3118.01,425.3,41335.0,N-16 P-14 K-20,Gravedad,36.41,48.26,53.06,11.12,0.5,Arenoso,6.1
24,2027-07-23,2027-11-20,658.71,19.62,78.94,12.32,1730.8,4794.36,483.15,42017.0,N-14 P-15 K-17,Aspersion,47.95,38.43,54.31,36.24,0.9,Franco,6.4
25,2027-11-20,2028-03-19,724.7,19.42,67.01,12.55,2998.0,4359.82,406.73,49225.0,N-16 P-16 K-10,Gravedad,22.3,31.95,55.34,27.28,0.8,Franco,7.4
26,2028-03-19,2028-07-17,742.5,20.27,54.16,12.25,2505.19,4036.78,478.03,40383.0,N-16 P-18 K-20,Gravedad,40.36,54.01,67.7,47.54,0.7,Arcilloso,6.1
27,2028-07-17,2028-11-14,760.65,18.31,83.13,12.42,3181.27,3713.63,477.24,47805.0,N-17 P-19 K-19,Goteo,24.94,51.47,48.77,12.74,0.9,Franco,7.3
28,2028-11-14,2029-03-14,594.64,25.72,63.61,12.51,2357.28,4944.71,412.3,45520.0,N-18 P-16 K-17,Aspersion,30.43,47.89,42.0,37.91,0.9,Franco,5.9
29,2029-03-14,2029-07-12,543.44,24.05,61.7,12.42,561.53,4743.89,421.56,41551.0,N-12 P-18 K-12,Gravedad,33.66,35.33,51.08,47.56,0.7,Franco,7.3
30,2029-07-12,2029-11-09,761.48,24.15,81.02,12.19,976.04,4580.05,496.05,47187.0,N-13 P-11 K-15,Gravedad,37.16,58.56,54.43,15.78,0.5,Arenoso,6.5
31,2029-11-09,2030-03-09,877.5,24.03,74.86,12.97,3138.45,3294.53,444.99,42769.0,N-12 P-10 K-17,Goteo,37.09,33.87,49.03,36.99,0.7,Franco,6.6
32,2030-03-09,2030-07-07,773.1,19.41,86.07,12.63,2819.62,4636.89,485.32,49477.0,N-19 P-10 K-20,Goteo,25.93,54.76,48.16,33.84,0.6,Arcilloso,7.2
33,2030-07-07,2030-11-04,768.07,19.43,65.01,12.92,1463.94,4131.37,425.37,42934.0,N-11 P-16 K-18,Gravedad,24.0,46.08,67.95,48.8,1.0,Arenoso,7.1
34,2030-11-04,2031-03-04,749.13,21.13,75.13,12.65,3070.87,4781.18,417.23,41527.0,N-20 P-12 K-10,Gravedad,37.88,57.02,61.6,30.9,0.9,Arenoso,6.2
35,2031-03-04,2031-07-02,806.54,18.64,52.96,12.75,929.27,4495.52,410.12,45477.0,N-11 P-15 K-10,Goteo,36.85,40.5,55.34,18.14,0.6,Arcilloso,7.1
36,2031-07-02,2031-10-30,639.87,19.55,56.43,12.84,3120.39,4703.6,442.26,40411.0,N-19 P-15 K-11,Aspersion,48.92,52.28,57.56,31.48,0.8,Franco,6.5
37,2031-10-30,2032-02-27,719.48,24.79,89.4,12.6,1194.34,4646.44,489.71,48538.0,N-18 P-18 K-14,Goteo,42.29,48.65,48.41,36.36,0.8,Arcilloso,6.3
38,2032-02-27,2032-06-26,553.29,19.18,61.87,12.44,1422.25,3264.81,400.04,47860.0,N-12 P-17 K-13,Goteo,47.01,46.21,45.18,31.82,0.8,Franco,5.7
39,2032-06-26,2032-10-24,686.46,21.58,66.5,13.0,773.13,4067.71,403.29,47348.0,N-11 P-11 K-13,Gravedad,34.26,57.19,41.64,28.61,0.7,Arenoso,6.4
40,2032-10-24,2033-02-21,682.33,24.08,57.6,12.71,2575.63,4565.55,493.97,41291.0,N-16 P-13 K-16,Gravedad,44.49,55.48,40.7,38.45,0.9,Arcilloso,6.0
41,2033-02-21,2033-06-21,939.4,24.21,59.27,12.96,3071.6,4255.0,462.71,45256.0,N-11 P-17 K-15,Aspersion,23.11,55.23,51.13,11.38,0.5,Franco,6.2
42,2033-06-21,2033-10-19,459.55,23.59,84.15,12.76,1685.12,3078.64,414.62,42989.0,N-12 P-10 K-13,Goteo,27.21,48.41,65.94,30.99,0.7,Arenoso,5.8
43,2033-10-19,2034-02-16,502.79,25.46,61.22,12.12,572.13,4328.13,470.64,46728.0,N-20 P-16 K-17,Gravedad,34.08,36.61,57.86,21.66,0.7,Franco,7.2
44,2034-02-16,2034-06-16,478.54,19.64,67.59,12.36,2163.91,3918.99,453.42,47125.0,N-10 P-12 K-12,Aspersion,35.08,44.2,44.68,28.83,0.8,Arcilloso,7.2
45,2034-06-16,2034-10-14,953.56,21.68,77.8,12.91,2589.72,4890.57,411.36,44136.0,N-15 P-20 K-11,Aspersion,29.12,48.64,58.45,14.16,0.6,Arcilloso,6.9
46,2034-10-14,2035-02-11,411.38,27.54,60.81,12.15,1961.19,3841.86,451.52,46753.0,N-15 P-19 K-16,Aspersion,25.28,40.39,60.52,20.27,0.6,Franco,7.1
47,2035-02-11,2035-06-11,507.56,20.06,65.84,12.05,2221.95,3916.55,462.82,42946.0,N-19 P-14 K-13,Aspersion,42.78,49.59,58.98,35.48,1.0,Franco,5.6
48,2035-06-11,2035-10-09,582.53,27.44,64.06,12.06,1520.43,4483.48,445.86,42659.0,N-11 P-11 K-10,Gravedad,46.3,35.96,43.19,22.82,0.9,Arenoso,6.7
