Año de siembra,Altitud (msnm),Superficie (m2),Distancia entre filas (cm),Fecha de siembra,Distancia en la fila (cm),Fertilizaci�n,Riego,Clima,Costo de producción (USD),Otros costos (USD),Producci�n (kg)
2020,282.0955763,4663.969936,90,19/07/2020,30,30,3,húmedo,143.3852724,152.4568018,1776.884452
2020,53.79052642,1576.243807,90,03/07/2020,20,15,3,tropical,120.2347361,185.2382832,2060.506351
2020,91.40364568,3636.86951,80,25/09/2020,40,20,1,tropical,257.4401417,269.6784996,1720.035625
2020,172.5435532,3469.510095,90,31/07/2020,40,15,1,húmedo,114.9652576,150.5732439,1626.796143
2020,293.7779028,658.5593626,70,18/06/2020,20,30,1,templado,241.9771306,131.3617573,2019.91227
2020,55.95392711,3797.899385,100,15/08/2020,30,30,3,,244.1418792,268.0273483,1813.191059
2020,195.2117125,1907.468464,90,06/09/2020,30,20,3,húmedo,104.9263345,275.1514805,1740.217203
2020,129.5603459,2989.271249,100,17/06/2020,30,15,1,húmedo,218.3415792,287.1676798,1589.720212
2020,289.5159572,3998.571972,80,15/06/2020,20,15,2,seco,124.619649,125.1317836,1534.618036
2020,158.1800265,4888.65251,80,08/09/2020,30,15,3,tropical,250.2541206,106.3321131,1536.128102
2020,8.839463419,4526.906709,70,09/06/2020,50,15,3,húmedo,266.6928587,254.5183684,1926.514661
2020,157.7616518,3736.67798,80,21/08/2020,,15,3,tropical,213.3435491,298.6875317,2088.945359
2020,178.9757481,4379.780544,80,26/06/2020,,15,2,templado,132.4131247,103.6530945,1630.347576
2020,117.3082032,4467.063603,70,07/07/2020,50,20,2,seco,104.3409158,230.3268082,1550.483053
2020,201.5334856,2944.198988,70,11/09/2020,50,30,3,tropical,163.8223704,292.1241518,1931.981122
2020,260.8542885,,90,16/08/2020,30,20,2,seco,249.1713836,254.7754973,1800.268788
2020,52.17420735,2689.226386,100,02/08/2020,40,30,1,tropical,143.7772535,185.6187029,1574.324284
2020,58.83626602,2014.595105,90,28/09/2020,30,30,3,húmedo,207.0252103,272.249075,1722.215416
2020,264.1336774,1005.211916,90,27/08/2020,50,30,1,húmedo,202.262898,96.4349792,1526.456128
2020,249.75017,4099.26212,100,15/06/2020,20,15,1,húmedo,246.7872608,193.1491613,2017.79634
2020,63.65343849,3842.528957,80,28/09/2020,50,15,3,tropical,114.5938296,82.00326688,1501.772043
2020,278.3858299,2727.766243,70,07/09/2020,20,20,1,tropical,218.4454101,280.0477264,1640.92255
2020,25.29472745,934.3428885,90,21/09/2020,20,30,1,húmedo,211.6072859,93.4184304,1573.353779
2020,83.44589394,1675.495947,100,31/07/2020,20,20,2,húmedo,141.4726919,155.8925763,1590.649889
2020,109.2623734,1811.225392,90,20/06/2020,20,30,2,tropical,256.1693937,155.7642894,1801.673718
2020,59.79192161,2092.170857,90,01/06/2020,20,30,3,tropical,277.9982512,103.1901919,1504.986884
2020,157.5959662,,90,05/06/2020,50,20,3,seco,295.2606072,133.8786801,1753.895427
2020,172.3111317,4588.802016,90,12/06/2020,30,20,2,tropical,158.4664609,269.9705088,1972.012719
2020,100.1357483,4131.878554,90,28/06/2020,20,30,1,seco,184.6427933,130.4936864,1975.644503
2020,259.7379555,3295.228888,90,23/08/2020,40,30,1,tropical,260.132319,224.8778688,2098.643688
2020,290.4168387,2146.907854,100,12/08/2020,20,15,1,tropical,121.1593917,193.7383866,1748.776106
2020,65.63316669,4923.384616,70,25/08/2020,30,20,3,húmedo,123.1392863,164.695941,1551.94689
2020,152.5943481,1147.408565,100,05/06/2020,30,15,3,tropical,166.4078323,202.7104482,1555.509366
2020,53.85762033,1167.024836,80,13/08/2020,30,30,3,tropical,231.5443149,77.00940997,1845.867229
