Año de siembra,Altitud (msnm),Superficie (m2),Distancia entre filas (cm),Fecha de siembra,Distancia en la fila (cm),Fertilizaci�n,Riego,Clima,Costo de producción (USD),Otros costos (USD),Producción (kg)
2020,84.33059116,1051.873543,80,03/08/2020,40,30,2,húmedo,211.75985,191.0689588,1843.056994
2020,81.71520987,2069.201056,80,23/06/2020,,15,3,seco,279.1089292,151.3066735,2084.166074
2020,154.5799663,1965.570585,100,11/08/2020,50,30,2,húmedo,109.8775699,184.8024493,2003.970561
2020,219.1150731,2262.146788,100,14/08/2020,30,15,2,húmedo,279.7714008,129.1325286,1859.381315
2020,153.0306133,,90,27/06/2020,20,30,3,húmedo,116.7686796,292.7163344,1676.359642
2020,157.2149573,,70,15/09/2020,30,30,1,húmedo,160.066144,162.1924316,2043.363496
2020,128.9276608,1533.45525,90,18/09/2020,50,30,1,tropical,271.0885342,203.9431227,1642.505185
2020,290.5428066,3804.912085,90,15/09/2020,40,30,2,húmedo,162.8706072,277.1728119,1691.497224
2020,204.5477328,3976.54068,100,11/07/2020,50,15,1,húmedo,268.4151566,123.8072526,1750.427681
2020,78.84773232,1800.247769,80,06/06/2020,30,15,1,tropical,238.7999153,139.9039554,2050.073917
2020,270.9387502,582.9361479,70,05/09/2020,30,15,3,húmedo,123.4999901,193.8069371,1507.112699
2020,,688.1079161,90,25/07/2020,30,30,3,seco,154.0683746,53.21254376,1802.860171
2020,283.3858931,2366.3523,70,10/07/2020,30,15,3,seco,129.0391922,188.8648411,1852.178193
2020,5.057959865,3638.199958,100,22/08/2020,50,20,3,húmedo,153.4182974,290.6439266,2093.219295
2020,222.2044936,2701.72985,90,03/08/2020,30,15,3,seco,225.2029441,143.3751323,2002.251368
2020,78.65027822,2859.798039,100,15/07/2020,40,30,2,húmedo,129.2623697,189.7903716,1789.369584
2020,153.8685549,773.9026784,80,03/09/2020,20,30,2,tropical,182.6761926,215.4065829,1803.760446
2020,13.17508368,4220.043303,70,14/07/2020,20,15,3,húmedo,234.2893047,237.1868979,1765.839764
2020,238.4116544,560.6996727,100,24/07/2020,30,15,3,templado,112.1329058,68.53374337,1584.566075
2020,264.4511119,2084.360609,100,23/08/2020,50,15,2,tropical,243.6100648,253.0711049,1732.856415
2020,258.6602487,1123.557054,100,28/09/2020,30,15,3,húmedo,227.0467872,180.3402017,1853.653917
2020,85.51135247,2373.867138,80,14/09/2020,50,20,2,tropical,253.5500472,163.5169559,2024.847729
2020,7.192641466,4935.936717,80,10/08/2020,40,15,2,húmedo,268.5482413,146.8186984,1533.076914
2020,78.57511596,2312.850519,90,14/09/2020,40,20,1,templado,173.3867916,263.9534324,1679.885473
2020,83.86815039,3257.885075,90,23/07/2020,20,30,1,tropical,111.7300095,125.1387338,1863.916984
2020,162.6650114,3606.915104,80,08/09/2020,30,20,3,seco,241.8392538,298.5984375,1779.670479
2020,243.091168,1349.680712,100,28/09/2020,50,30,1,húmedo,277.2671228,171.685392,2082.920436
2020,82.978543,1324.78349,70,17/09/2020,50,30,1,tropical,158.3285093,275.1405475,1685.277823
2020,240.4316779,3461.348344,90,22/09/2020,20,20,1,húmedo,188.890828,58.67935789,2042.613442
2020,24.25160104,3193.466446,80,25/09/2020,40,15,3,tropical,208.4514043,287.4664291,1967.650535
2020,169.644804,4772.602938,80,01/09/2020,50,15,2,templado,282.6673339,246.6137966,1702.607093
2020,193.1535524,,80,18/07/2020,20,20,2,húmedo,194.8593982,231.251292,1782.947013
2020,69.89586001,2474.929698,70,04/09/2020,40,15,2,húmedo,212.6675377,260.3720731,2024.927589
2020,105.2699119,918.9686954,100,15/09/2020,40,15,2,tropical,153.801812,230.2288046,2090.085585
2020,232.0854033,861.7288318,80,16/06/2020,50,20,2,seco,210.853889,293.4720727,1802.633545
2020,0.227115591,1705.446494,90,17/06/2020,50,30,3,seco,253.7019955,200.0224988,1590.675513
2020,231.398375,580.8652987,80,10/07/2020,20,30,1,húmedo,228.3484148,50.95408496,1869.823074
2020,89.49134791,2737.977114,100,01/07/2020,50,20,1,tropical,193.7508057,158.4650101,1975.072816
2020,134.9480448,3566.773014,70,25/07/2020,50,15,2,húmedo,184.491634,71.91016932,1815.55467
2020,130.6391034,1542.595278,80,20/09/2020,20,15,3,tropical,262.8443173,53.91334409,1565.097448
2020,37.90622788,,70,04/09/2020,,20,3,tropical,236.734119,283.384742,1841.874187
2020,95.55274375,1843.568674,70,23/07/2020,40,15,2,húmedo,202.9595699,123.302821,2035.20423
2020,17.52663523,3896.201153,100,05/09/2020,50,30,3,húmedo,140.8943394,157.3624061,1670.498756
2020,82.97530501,3768.803058,90,06/08/2020,50,15,1,,239.2713769,181.4091461,1834.76697
2020,162.7173618,4131.648628,90,22/08/2020,30,30,1,tropical,192.5697822,128.9318168,1874.394716
2020,178.6911868,3474.244433,90,01/06/2020,30,15,2,húmedo,104.865045,68.31654722,1506.036301
2020,206.6972842,2117.576489,100,05/09/2020,50,15,3,seco,259.8064475,128.883337,1788.485023
2020,56.27942704,4200.524176,80,26/08/2020,40,20,3,tropical,142.9271239,132.4725053,1818.769371
2020,127.5099816,1453.873699,100,05/08/2020,20,20,1,húmedo,278.9127008,256.5696098,1820.823543
2020,141.2432578,4517.017165,90,29/07/2020,30,15,3,húmedo,272.2184647,257.6615626,1651.44318
2020,207.0714938,,100,29/08/2020,20,15,3,húmedo,130.5604819,59.27887554,1500.492494
2020,222.2120578,1625.769444,90,31/08/2020,20,15,3,húmedo,108.1064081,133.4885739,1776.621274
2020,165.6393379,1814.361651,70,17/06/2020,30,20,2,húmedo,114.8102245,272.9860879,2026.190531
2020,210.9667187,1662.714793,70,30/07/2020,20,30,2,húmedo,267.7820038,243.575297,2011.483388
